kabupaten_kota,kecamatan,desa_kelurahan,status,jenis_kelamin,jumlah_penduduk,tahun
KABUPATEN BOGOR,CIOMAS,CIOMAS RAHAYU,DESA,LAKI-LAKI,11402,2019
KABUPATEN BOGOR,CIOMAS,CIOMAS RAHAYU,DESA,PEREMPUAN,11034,2019
KABUPATEN BOGOR,CIOMAS,LALADON,DESA,LAKI-LAKI,4469,2019
KABUPATEN BOGOR,CIOMAS,LALADON,DESA,PEREMPUAN,4240,2019
KABUPATEN BOGOR,TAMANSARI,SUKAJADI,DESA,LAKI-LAKI,2293,2019
KABUPATEN BOGOR,TAMANSARI,SUKAJADI,DESA,PEREMPUAN,2355,2019
KABUPATEN BOGOR,TAMANSARI,SUKALUYU,DESA,LAKI-LAKI,2629,2019
KABUPATEN BOGOR,TAMANSARI,SUKALUYU,DESA,PEREMPUAN,2690,2019
KABUPATEN BOGOR,TAMANSARI,SUKAJAYA,DESA,LAKI-LAKI,3647,2019
KABUPATEN BOGOR,TAMANSARI,SUKAJAYA,DESA,PEREMPUAN,3602,2019
KABUPATEN BOGOR,TAMANSARI,SUKARESMI,KELURAHAN,LAKI-LAKI,1527,2019
KABUPATEN BOGOR,TAMANSARI,SUKARESMI,KELURAHAN,PEREMPUAN,1595,2019
KABUPATEN BOGOR,TAMANSARI,PASIR EURIH,DESA,LAKI-LAKI,2415,2019
KABUPATEN BOGOR,TAMANSARI,PASIR EURIH,DESA,PEREMPUAN,2384,2019
KABUPATEN BOGOR,TAMANSARI,TAMAN SARI,DESA,LAKI-LAKI,2260,2019
KABUPATEN BOGOR,TAMANSARI,TAMAN SARI,DESA,PEREMPUAN,2367,2019
KABUPATEN BOGOR,TAMANSARI,SUKAMANTRI,DESA,LAKI-LAKI,3018,2019
KABUPATEN BOGOR,TAMANSARI,SUKAMANTRI,DESA,PEREMPUAN,2951,2019
KABUPATEN BOGOR,TAMANSARI,SIRNAGALIH,DESA,LAKI-LAKI,1849,2019
KABUPATEN BOGOR,TAMANSARI,SIRNAGALIH,DESA,PEREMPUAN,1902,2019
KABUPATEN BOGOR,CIJERUK,WARUNG MENTENG,DESA,LAKI-LAKI,3271,2019
KABUPATEN BOGOR,CIJERUK,WARUNG MENTENG,DESA,PEREMPUAN,3374,2019
KABUPATEN BOGOR,CIJERUK,CIJERUK,DESA,LAKI-LAKI,6048,2019
KABUPATEN BOGOR,CIJERUK,CIJERUK,DESA,PEREMPUAN,5519,2019
KABUPATEN BOGOR,CIJERUK,CIPELANG,DESA,LAKI-LAKI,5495,2019
KABUPATEN BOGOR,CIJERUK,CIPELANG,DESA,PEREMPUAN,4731,2019
KABUPATEN BOGOR,CIJERUK,CIBALUNG,DESA,LAKI-LAKI,4751,2019
KABUPATEN BOGOR,CIJERUK,CIBALUNG,DESA,PEREMPUAN,4405,2019
KABUPATEN BOGOR,CIJERUK,CIPICUNG,DESA,LAKI-LAKI,4790,2019
KABUPATEN BOGOR,CIJERUK,CIPICUNG,DESA,PEREMPUAN,4416,2019
KABUPATEN BOGOR,CIJERUK,TANJUNG SARI,DESA,LAKI-LAKI,3989,2019
KABUPATEN BOGOR,CIJERUK,TANJUNG SARI,DESA,PEREMPUAN,3864,2019
KABUPATEN BOGOR,CIJERUK,TAJUR HALANG,DESA,LAKI-LAKI,3014,2019
KABUPATEN BOGOR,CIJERUK,TAJUR HALANG,DESA,PEREMPUAN,2791,2019
KABUPATEN BOGOR,CIJERUK,PALASARI,DESA,LAKI-LAKI,6823,2019
KABUPATEN BOGOR,CIJERUK,PALASARI,DESA,PEREMPUAN,6294,2019
KABUPATEN BOGOR,CIJERUK,SUKAHARJA,DESA,LAKI-LAKI,3385,2019
KABUPATEN BOGOR,CIJERUK,SUKAHARJA,DESA,PEREMPUAN,3145,2019
KABUPATEN BOGOR,CIGOMBONG,TUGU JAYA,DESA,LAKI-LAKI,4118,2019
KABUPATEN BOGOR,CIGOMBONG,TUGU JAYA,DESA,PEREMPUAN,3888,2019
KABUPATEN BOGOR,CIGOMBONG,CIGOMBONG,DESA,LAKI-LAKI,3525,2019
KABUPATEN BOGOR,CIGOMBONG,CIGOMBONG,DESA,PEREMPUAN,3325,2019
KABUPATEN BOGOR,CIGOMBONG,WATES JAYA,DESA,LAKI-LAKI,5347,2019
KABUPATEN BOGOR,CIGOMBONG,WATES JAYA,DESA,PEREMPUAN,4905,2019
KABUPATEN BOGOR,CIGOMBONG,SROGOL,DESA,LAKI-LAKI,7786,2019
KABUPATEN BOGOR,CIGOMBONG,SROGOL,DESA,PEREMPUAN,7178,2019
KABUPATEN BOGOR,CIGOMBONG,CIBURUY,DESA,LAKI-LAKI,4836,2019
KABUPATEN BOGOR,CIGOMBONG,CIBURUY,DESA,PEREMPUAN,4682,2019
KABUPATEN BOGOR,CIGOMBONG,CISALADA,DESA,LAKI-LAKI,3917,2019
KABUPATEN BOGOR,CIGOMBONG,CISALADA,DESA,PEREMPUAN,3679,2019
KABUPATEN BOGOR,CIGOMBONG,PASIR JAYA,DESA,LAKI-LAKI,3385,2019
KABUPATEN BOGOR,CIGOMBONG,PASIR JAYA,DESA,PEREMPUAN,3275,2019
KABUPATEN BOGOR,CIGOMBONG,CIBURAYUT,DESA,LAKI-LAKI,5849,2019
KABUPATEN BOGOR,CIGOMBONG,CIBURAYUT,DESA,PEREMPUAN,5615,2019
